id;year;title;subject;popularity;awards
432;1987;Back to the Beach;COMEDY;45;False
433;1934;Painted Veil, The;DRAMA;57;False
434;1931;Inspiration;DRAMA;66;False
435;1930;Anna Christie;DRAMA;0;False
436;1926;Flesh & the Devil, The;DRAMA;72;False
437;1928;Woman of Affairs;DRAMA;83;False
438;1935;Anna Karenina;DRAMA;35;True
439;1936;Camille;DRAMA;74;False
440;1931;Mata Hari;DRAMA;67;False
441;1929;Wild Orchids;DRAMA;70;False
442;1932;Grand Hotel;DRAMA;81;True
443;1931;Susan Lennox, Her Fall & Rise;DRAMA;64;False
444;1939;Ninotchka;COMEDY;40;False
445;1933;Queen Christina;DRAMA;82;False
446;1928;Mysterious Lady, The;DRAMA;72;False
447;1925;Joyless Street;DRAMA;73;False
448;1929;Single Standard, The;DRAMA;73;False
449;1932;As You Desire Me;DRAMA;85;False
450;1930;Romance;DRAMA;62;False
451;1962;A Child Is Waiting;DRAMA;60;False
452;1982;Tootsie;COMEDY;8;True
453;1989;Let It Ride;COMEDY;88;False
454;1953;Julius Caesar;DRAMA;50;False
455;1979;Nineteen Forty-One;COMEDY;24;False
456;1975;Jaws;ACTION;6;False
457;1987;Hot Pursuit;DRAMA;44;False
458;1989;Triumph of the Spirit;DRAMA;49;False
459;1975;Brannigan;DRAMA;64;False
460;1979;Buffet Froid;COMEDY;75;False
461;1986;Salvador;DRAMA;77;False
462;1959;Horse Soldiers, The;WESTERN;76;False
463;1954;Long John Silver;ACTION;56;False
464;1961;Hustler, The;DRAMA;43;True
465;1983;Star Chamber, The;DRAMA;3;False
466;1988;Clara's Heart;DRAMA;60;False
467;1987;Burglar;COMEDY;44;False
468;1986;Comic Relief;COMEDY;69;False
469;1978;Bloodbrothers;DRAMA;11;False
470;1988;Rain Man;DRAMA;8;True
471;1966;Masculine Feminine;DRAMA;20;False
472;1964;Outer Limits, The;SCIENCE FICTION;27;False
473;1988;Mama's Dirty Girls;HORROR;62;False
474;1979;Last Ride of the Dalton Gang, The;WESTERN;62;False
475;1991;Why Me?;COMEDY;74;False
476;1932;Number Seventeen;CRIME;66;False
477;1986;Manhunter;DRAMA;19;False
478;1990;Bonfire of the Vanities, The;DRAMA;82;False
479;1988;Working Girl;COMEDY;25;False
480;1992;Shining Through;MYSTERY;11;False
481;1991;Slumber Party Massacre III;HORROR;40;False
482;1988;Tokyo Pop;COMEDY;2;False
483;1991;Terminator 2;ACTION;8;False
484;1984;Terminator, The;ACTION;17;False
485;1986;King Kong Lives!;ACTION;20;False
486;1969;Those Daring Young Men in Their Jaunty;COMEDY;59;False
487;1991;At Play in the Fields of the Lord;DRAMA;81;False
488;1990;Crazy People;COMEDY;61;False
489;1992;Memoirs of an Invisible Man;COMEDY;58;False
490;1985;Clan of the Cave Bear, The;DRAMA;73;False
491;1983;Final Terror, The;HORROR;24;False
492;1984;Reckless;DRAMA;14;False
493;1989;High Spirits;COMEDY;53;False
494;1987;Roxanne;COMEDY;66;False
495;1982;Blade Runner;ACTION;1;False
496;1987;Wall Street;DRAMA;6;True
497;1992;Pope of Greenwich Village;DRAMA;58;False
498;1989;After School;DRAMA;59;False
499;1938;Flaming Frontiers;WESTERN;82;False
500;1936;Libeled Lady;COMEDY;86;False
501;1976;Inserts;DRAMA;85;False
502;1988;Blue Iguana, The;DRAMA;65;False
503;1983;Tender Mercies;DRAMA;61;True
504;1987;Nights in White Satin;DRAMA;5;False
505;1989;Videodrome;HORROR;36;False
506;1991;Intimate Stranger;MYSTERY;23;False
507;1986;Highlander;SCIENCE FICTION;8;False
508;1987;Bodycount;ACTION;51;False
509;1989;Tango & Cash;ACTION;9;False
510;1970;There's a Girl in My Soup;COMEDY;41;False
511;1984;Swing Shift;DRAMA;81;False
512;1978;Foul Play;COMEDY;46;False
513;1982;Best Friends;COMEDY;74;False
514;1972;Butterflies Are Free;DRAMA;82;True
515;1987;Overboard;COMEDY;6;False
516;1974;Girl from Petrovka, The;DRAMA;23;False
517;1992;Housesitter;COMEDY;14;False
518;1986;Wildcats;COMEDY;22;False
519;1984;Protocol;COMEDY;53;False
520;1980;Seems Like Old Times;COMEDY;49;False
521;1974;Sugarland Express, The;DRAMA;28;False
522;1980;Private Benjamin;COMEDY;61;False
523;1991;Deceived;MYSTERY;55;False
524;1931;Arrowsmith;DRAMA;84;False
525;1972;Say Goodbye Maggie Cole;DRAMA;84;False
526;1964;Circus World;DRAMA;29;False
527;1952;Affair in Trinidad;DRAMA;49;False
528;1948;Lady from Shanghai;MYSTERY;16;False
529;1940;Lady in Question;DRAMA;57;False
530;1946;Gilda;DRAMA;57;False
531;1948;Loves of Carmen, The;DRAMA;48;False
532;1990;Dick Tracy;COMEDY;84;False
533;1964;Marnie;DRAMA;2;False
534;1987;Hot Child in the City;MYSTERY;0;False
535;1984;Johnny Dangerously;COMEDY;3;False
536;1985;Stark;MYSTERY;27;False
537;1949;Three Strange Loves;DRAMA;87;False
538;1964;My Fair Lady;MUSIC;10;True
539;1960;Unforgiven, The;DRAMA;32;False
540;1976;Robin & Marian;ACTION;6;False
541;1961;Children's Hour, The;DRAMA;60;False
542;1956;Rainmaker, The;DRAMA;21;False
543;1952;Pat & Mike;COMEDY;48;False
544;1968;Lion in Winter, THe;DRAMA;78;True
545;1991;Sea of Grass, The;WESTERN;75;False
546;1967;Guess Who's Coming to Dinner;DRAMA;50;True
547;1957;Desk Set;COMEDY;51;False
548;1975;Rooster Cogburn;WESTERN;76;False
549;1981;On Golden Pond;DRAMA;23;True
550;1991;Adam's Rib;COMEDY;62;False
551;1991;Boom Town;DRAMA;73;False
552;1991;Dragon Seed;DRAMA;34;False
553;1991;Little Women;DRAMA;22;False
554;1991;Philadelphia Story, The;COMEDY;25;False
555;1991;Without Love;COMEDY;66;False
556;1991;Woman of the Year;COMEDY;12;False
557;1992;Juice;DRAMA;31;False
558;1986;Hoosiers;DRAMA;2;False
559;1987;Tin Men;COMEDY;50;False
560;1988;Last Temptation of Christ, The;DRAMA;32;False
561;1991;Paris Trout;DRAMA;53;False
562;1988;Souvenir;DRAMA;42;False
563;1966;A Man for All Seasons;DRAMA;20;True
564;1986;Knights & Emeralds;DRAMA;;False
565;1989;Masque of the Red Death;HORROR;9;False
566;1943;Adventures of Smilin' Jack, The;MYSTERY;77;False
567;1992;Adventures in Dinosaur City;ACTION;19;False
568;1987;Allnighter, The;COMEDY;71;False
569;1980;Caddyshack;COMEDY;70;False
570;1973;Tom Sawyer;MUSIC;11;False
571;1987;Rita, Sue & Bob Too;COMEDY;5;False
572;1947;Hawk of Powder River;WESTERN;61;False
573;1928;Tempest;DRAMA;33;False
574;1986;Running Mates;DRAMA;63;False
575;1987;Prettykill;DRAMA;71;False
576;1934;Judge Priest;DRAMA;9;False
577;1950;Harvey;COMEDY;42;False
578;1991;If Looks Could Kill;ACTION;10;False
579;1987;Raising Arizona;COMEDY;23;False
580;1989;Once Around;COMEDY;68;False
581;1980;Loulou;DRAMA;65;False
582;1982;World According to Garp, The;DRAMA;59;False
583;1980;Virus;SCIENCE FICTION;62;False
584;1940;Northwest Passage;ACTION;51;False
